"1920s","Drama","4"
"1930s","Romance","4"
"1940s","Drama","10"
"1950s","Drama","17"
"1960s","Drama","12"
"1970s","Drama","12"
"1980s","Drama","17"
"1990s","Drama","31"
"2000s","Drama","36"
"2010s","Drama","30"
"2020s","Drama","4"
